Row,Column
340,54
340,513
341,55
341,513
342,55
342,513
343,55
343,513
344,54
344,513
345,54
345,513
346,54
346,513
347,54
347,513
348,54
348,513
349,54
349,513
350,54
350,513
351,53
351,513
352,53
352,513
353,53
353,513
354,53
354,513
355,53
355,513
356,53
356,514
357,52
357,514
358,52
358,514
359,52
359,514
360,52
360,514
361,52
361,514
362,52
362,514
363,52
363,514
364,52
364,514
365,52
365,514
366,52
366,514
367,52
367,515
368,52
368,516
368,517
369,52
369,518
370,51
370,519
370,520
371,51
371,521
372,51
372,522
372,523
373,51
373,524
374,51
374,525
374,526
375,51
375,527
375,528
376,51
376,529
377,51
377,530
377,531
378,51
378,532
379,51
379,533
379,534
380,51
380,535
381,51
381,535
382,51
382,536
383,51
383,536
384,51
384,536
385,52
385,536
386,52
386,536
387,52
387,537
387,538
387,539
387,540
388,53
388,541
388,542
388,543
389,53
389,544
389,545
389,546
389,547
390,53
390,548
390,549
390,550
390,551
391,54
391,552
391,553
391,554
391,567
392,54
392,555
392,556
392,557
392,567
392,568
393,54
393,558
393,567
393,569
394,55
394,559
394,560
394,566
394,569
395,55
395,561
395,562
395,566
395,570
396,56
396,563
396,566
396,571
397,56
397,564
397,565
397,571
398,56
398,572
399,57
399,573
400,57
400,574
401,57
401,574
402,58
402,575
403,58
403,576
404,58
404,576
405,59
405,577
406,59
406,578
407,59
407,579
408,59
408,579
409,58
409,580
410,58
410,581
411,58
411,582
412,58
412,583
412,584
413,58
413,585
414,58
414,586
415,58
415,587
416,58
416,588
417,58
417,589
417,590
418,57
418,591
419,57
419,592
420,57
420,593
421,57
421,594
422,57
422,594
423,57
423,594
424,57
424,594
425,57
425,594
426,57
426,594
427,56
427,594
428,56
428,594
429,56
429,595
430,56
430,595
431,56
431,595
432,56
432,595
433,56
433,595
434,56
434,595
435,56
435,595
436,56
436,595
437,55
437,596
438,55
438,596
439,55
439,596
440,55
440,596
441,55
441,596
442,55
442,596
443,55
443,596
444,55
444,596
445,55
445,597
446,54
446,597
447,54
447,597
448,54
448,597
449,54
449,597
450,54
450,597
451,54
451,597
452,54
452,597
453,53
453,598
454,53
454,598
455,53
455,598
456,53
456,598
457,53
457,598
458,53
458,598
459,52
459,598
460,52
460,598
461,52
461,599
462,52
462,599
463,52
463,599
464,52
464,599
465,51
465,599
466,51
466,599
467,51
467,600
468,51
468,600
469,51
469,601
470,51
470,601
471,50
471,601
472,50
472,602
473,50
473,602
474,50
474,603
475,50
475,603
476,50
476,603
477,49
477,604
478,49
478,604
479,49
479,604
480,49
480,605
481,49
481,606
482,49
482,606
483,48
483,607
484,48
484,608
485,48
485,609
486,48
486,610
487,48
487,611
488,48
488,611
489,47
489,612
490,47
490,613
491,47
491,614
492,47
492,615
493,47
493,615
494,46
494,616
495,46
495,616
496,46
496,616
497,46
497,616
498,46
498,616
499,45
499,616
500,45
500,616
501,45
501,616
502,45
502,616
503,45
503,617
504,44
504,617
505,44
505,617
506,44
506,617
507,44
507,617
508,44
508,617
509,43
509,617
510,43
510,617
511,43
511,617
512,43
512,618
513,43
513,618
514,42
514,619
515,43
515,619
516,43
516,619
517,44
517,620
518,44
518,620
519,45
519,621
520,45
520,621
521,45
521,622
522,46
522,622
523,46
523,622
524,47
524,623
525,47
525,623
526,48
526,624
527,48
527,624
528,49
528,50
528,625
529,51
529,52
529,625
530,53
530,309
530,310
530,311
530,312
530,313
530,314
530,315
530,316
530,317
530,625
531,54
531,55
531,139
531,140
531,141
531,304
531,305
531,306
531,307
531,308
531,318
531,319
531,320
531,321
531,322
531,626
532,56
532,57
532,135
532,136
532,137
532,138
532,142
532,143
532,144
532,145
532,146
532,147
532,148
532,219
532,220
532,221
532,222
532,223
532,224
532,225
532,226
532,227
532,228
532,229
532,230
532,231
532,232
532,233
532,234
532,235
532,236
532,237
532,238
532,239
532,240
532,241
532,242
532,243
532,244
532,245
532,246
532,247
532,248
532,249
532,250
532,251
532,252
532,253
532,254
532,255
532,256
532,257
532,299
532,300
